Id,Start time,Completion time,Vanus:,Sugu:,Mis pilt sulle kõige rohkem meeldib?,Aga mis pilt siit?,"Kui su elu oleks film, mis anr see oleks?",Millised tegevused sinu filmis kindlasti esineksid?,Mis oleks selle pealkiri?,Mis oleks sinu kangelase supervõime?,Oma kangelase tähtsamad omadused:,Mis tüüpi sõber / kaaslane sind aitaks?,Hindab enda seikluslikkust:,Kuidas meeldis see küsimustik?,Lisa kommentaar.
1,2/6/2026 11:05,2/6/2026 11:10,32-38,Mees,Ulme / Sci-fi,Seiklus,Sci-Fi / ulme,Toredad seiklused;Naljakad juhtumised;Probleemide lahendamine;Riskid / adrekas;Põhiaines tehnoloogial;,Seiklus Keskmaale,Suur intelligents ja planeerimisoskus,Nutikus;Julgus;Sotsiaalne oskus;Loovus;,Tark nõustaja,4,8,mitte midagi
2,2/6/2026 11:15,2/6/2026 11:18,32-38,Naine,Romantika / Draama,Õudukas,Seiklus,Naljakad juhtumised;Sõprussuhted;Salapärased ja müstilised hetked;Põhiaines tehnoloogial;,Veidrad asjad,Suur intelligents ja planeerimisoskus,Julgus;Loovus;Nutikus;Sotsiaalne oskus;,Naljahammas ja meelelahutaja,2,10,Tore kûsimustik
3,2/6/2026 12:51,2/6/2026 12:56,32-38,Naine,Romantika / Draama,Muusikal,Õudukas,Naljakad juhtumised;Muusikaline / kunstiline väljendus;Riskid / adrekas;Sõprussuhted;Salapärased ja müstilised hetked;,Ta tegi ikkagi omamoodi,Suurepärane sotsiaalne võlu,Sotsiaalne oskus;Nutikus;Loovus;Julgus;,Naljahammas ja meelelahutaja,4,10,"Nii hea küsitlus, ideaalne reede õhtu lõpetamiseks koolis. Suur tänu :D 

A ja filmizanri oleks valinud veel must komöödia :D "
4,2/6/2026 12:56,2/6/2026 13:02,39-45,Naine,Ulme / Sci-fi,Seiklus,Seiklus,Naljakad juhtumised;Sõprussuhted;Salapärased ja müstilised hetked;Toredad seiklused;Probleemide lahendamine;,It´s just a game!,Suur intelligents ja planeerimisoskus,Nutikus;Julgus;Loovus;Sotsiaalne oskus;,Loov strateeg,4,9,Lõbus oli täita :D
5,2/6/2026 13:10,2/6/2026 13:12,52-59,Naine,Seiklus,Muusikal,Komöödia,Toredad seiklused;Naljakad juhtumised;Sõprussuhted;Probleemide lahendamine;Riskid / adrekas;Salapärased ja müstilised hetked;Muusikaline / kunstiline väljendus;Põhiaines tehnoloogial;,seiklus,Loovus ja innovatsioon,Nutikus;Julgus;Loovus;Sotsiaalne oskus;,Loov strateeg,2,8,
6,2/6/2026 13:14,2/6/2026 13:16,52-59,,Komöödia,Muusikal,Draama,Naljakad juhtumised;,Elu on suur juhus,Loovus ja innovatsioon,Nutikus;Julgus;Loovus;Sotsiaalne oskus;,Tark nõustaja,4,9,
7,2/6/2026 14:47,2/6/2026 14:50,25-31,Naine,Romantika / Draama,Muusikal,Seiklus,Toredad seiklused;Naljakad juhtumised;Sõprussuhted;Salapärased ja müstilised hetked;Muusikaline / kunstiline väljendus;,Lustakad seiklused looduses,Julgus ja seiklushimu,Nutikus;Julgus;Loovus;Sotsiaalne oskus;,Tark nõustaja,4,10,Mega vahva!
8,2/6/2026 15:20,2/6/2026 15:25,25-31,Naine,Seiklus,Seiklus,Seiklus,Sõprussuhted;Probleemide lahendamine;Salapärased ja müstilised hetked;,Natuke siin ja natuke seal,Julgus ja seiklushimu,Loovus;Nutikus;Sotsiaalne oskus;Julgus;,Loov strateeg,3,10,Väga lahe küsimustik! Kui oleks veel pikem siis teeks edasi ja ei tüdineks! 
9,2/6/2026 19:48,2/6/2026 20:03,39-45,Naine,Seiklus,Õudukas,Seiklus,Sõprussuhted;Probleemide lahendamine;Toredad seiklused;,Homme on uus päev,Suurepärane sotsiaalne võlu,Nutikus;Julgus;Sotsiaalne oskus;Loovus;,Loov strateeg,5,10,Väga lahe küsimustik! Mu elu ongi nagu filmis : D
10,2/7/2026 7:13,2/7/2026 7:16,52-59,Naine,Seiklus,Seiklus,Seiklus,Toredad seiklused;Salapärased ja müstilised hetked;Probleemide lahendamine;,Elu kui seiklus,Julgus ja seiklushimu,Julgus;Sotsiaalne oskus;Loovus;Nutikus;,Tark nõustaja,3,10,
11,2/7/2026 16:25,2/7/2026 16:28,32-38,Naine,Seiklus,Seiklus,Seiklus,Toredad seiklused;Naljakad juhtumised;Sõprussuhted;Probleemide lahendamine;Riskid / adrekas;Salapärased ja müstilised hetked;,Ei saa kulbiga võtta kui on lusikaga antud.,Julgus ja seiklushimu,Nutikus;Julgus;Loovus;Sotsiaalne oskus;,Tark nõustaja,4,10,
12,2/8/2026 23:25,2/8/2026 23:34,52-59,Naine,Komöödia,Komöödia,Komöödia,Naljakad juhtumised;Sõprussuhted;Toredad seiklused;,Seiklused argipäevas,Julgus ja seiklushimu,Julgus;Loovus;Sotsiaalne oskus;Nutikus;,Naljahammas ja meelelahutaja,4,9,
13,2/10/2026 5:57,2/10/2026 6:03,39-45,Naine,Romantika / Draama,Seiklus,Seiklus,Naljakad juhtumised;Sõprussuhted;Toredad seiklused;,Teekond täis naeru ja sõpru,Suur intelligents ja planeerimisoskus,Nutikus;Sotsiaalne oskus;Julgus;Loovus;,Tark nõustaja,4,10,
14,2/6/2026 12:54,2/6/2026 12:58,32-38,Naine,Romantika / Draama,Komöödia,Komöödia,Toredad seiklused;Naljakad juhtumised;Sõprussuhted;Probleemide lahendamine;Riskid / adrekas;Salapärased ja müstilised hetked;Muusikaline / kunstiline väljendus;,Elu parim elu,Julgus ja seiklushimu,,Naljahammas ja meelelahutaja,5,10,"Aitäh, teistest erineva küsimustiku eest!"
15,2/6/2026 12:54,2/6/2026 13:08,39-45,Naine,Seiklus,Komöödia,Seiklus,Toredad seiklused;Naljakad juhtumised;Salapärased ja müstilised hetked;,Avastamisretk,Julgus ja seiklushimu,,Tark nõustaja,2,10,Väga äge küsimustik!
16,2/9/2026 12:39,2/9/2026 12:42,39-45,Naine,Romantika / Draama,Muusikal,Seiklus,Toredad seiklused;Sõprussuhted;Muusikaline / kunstiline väljendus;,Läbi elu liueldes,Julgus ja seiklushimu,,Julge seikleja,4,9,"Natuke oli vaja vahepeal aru saada, mida küsimusega oli mõeldud."
